latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
34.182638,-118.129102,0.30,0.40,0.42,0.17,0.30,0.30,0.42,0.17,1,2022-06-05 23:17:20.340,2022-06-05 16:17:20.340,16,0,0,15.085,34.182637,-118.129103,0.10,0.10,-0.40,2.00,-2.70,-18.70,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471040340,3805,3799,3802,3801,0,0,27,Litchi_iOS_2.14.0,Brian-MAVIC 2,163DFCK001S13F,1DUCFB800104PR,0P2AG3L53400KG,,0,3645,0,-20.00,-27.00,-187.00,0.00,0.00,-257.00,11,3.00,4.24,1.67,1.00,1.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,(null),(null),,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182639,-118.129102,0.40,0.40,0.41,0.20,0.40,0.40,0.42,0.20,99,2022-06-05 23:17:20.439,2022-06-05 16:17:20.439,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.40,2.00,-2.60,-18.70,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471040438,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-20.00,-26.00,-187.00,0.00,0.00,-257.00,11,4.00,4.12,2.02,1.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182639,-118.129102,0.40,0.50,0.51,0.22,0.40,0.40,0.51,0.22,196,2022-06-05 23:17:20.535,2022-06-05 16:17:20.535,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.50,2.50,-2.80,-18.70,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471040535,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-25.00,-28.00,-187.00,0.00,0.00,-257.00,11,4.00,5.10,2.22,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182639,-118.129102,0.50,0.50,0.51,0.23,0.50,0.50,0.51,0.23,299,2022-06-05 23:17:20.639,2022-06-05 16:17:20.639,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.50,2.70,-2.80,-18.80,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471040638,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-27.00,-28.00,-188.00,0.00,0.00,-257.00,11,5.00,5.10,2.35,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182639,-118.129102,0.50,0.60,0.51,0.25,0.50,0.50,0.51,0.25,399,2022-06-05 23:17:20.738,2022-06-05 16:17:20.738,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.50,2.70,-2.50,-18.90,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471040738,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-27.00,-25.00,-189.00,0.00,0.00,-257.00,11,5.00,5.10,2.52,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182639,-118.129102,0.60,0.60,0.51,0.27,0.60,0.60,0.51,0.27,499,2022-06-05 23:17:20.839,2022-06-05 16:17:20.839,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.50,2.80,-2.30,-19.00,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471040838,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-28.00,-23.00,-190.00,0.00,0.00,-257.00,11,6.00,5.10,2.71,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182639,-118.129102,0.60,0.70,0.51,0.29,0.60,0.60,0.51,0.29,600,2022-06-05 23:17:20.940,2022-06-05 16:17:20.940,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.50,2.80,-2.30,-19.00,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471040939,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-28.00,-23.00,-190.00,0.00,0.00,-257.00,11,6.00,5.10,2.86,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182639,-118.129102,0.70,0.70,0.51,0.29,0.70,0.70,0.51,0.29,700,2022-06-05 23:17:21.039,2022-06-05 16:17:21.039,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.50,2.70,-2.30,-18.90,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471041039,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-27.00,-23.00,-189.00,0.00,0.00,-257.00,11,7.00,5.10,2.95,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182639,-118.129102,0.70,0.80,0.51,0.31,0.70,0.70,0.51,0.31,805,2022-06-05 23:17:21.145,2022-06-05 16:17:21.145,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.50,2.90,-2.30,-19.00,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471041144,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-29.00,-23.00,-190.00,0.00,0.00,-257.00,11,7.00,5.10,3.07,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182640,-118.129102,0.80,0.80,0.41,0.33,0.80,0.80,0.51,0.33,900,2022-06-05 23:17:21.239,2022-06-05 16:17:21.239,16,0,0,15.085,34.182637,-118.129103,0.10,0.00,-0.40,3.10,-2.10,-19.00,0,1,0,43,100,-7450,1534,15085,3221.50,4,TakeOff,1,0,0,0,0,0,0,1654471041239,3805,3799,3802,3801,0,0,27,,,,,,,0,0,0,-31.00,-21.00,-190.00,0.00,0.00,-257.00,11,8.00,4.12,3.34,1.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
