latitude,longitude,altitude(feet),ultrasonicHeight(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mph),velocityY(mph),velocityZ(mph),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
34.182609,-118.129086,0.98,1.31,0.89,0.32,0.98,0.98,0.89,0.32,3,2022-06-07 23:40:24.059,2022-06-07 16:40:24.060,14,0,0,16.750,34.182609,-118.129085,0.00,0.00,-0.89,1.70,-1.20,-2.40,0,1,0,88,100,-4941,3081,16750,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224059,4235,4237,4236,4224,0,0,27,Litchi_iOS_2.14.0,Brian-MAVIC 2,163DFCK001S13F,1DUCFB800104PR,0P2AFBV5340045,,0,3507,0,-17.00,-12.00,-24.00,0.00,0.00,-75.00,11,3.00,4.00,0.98,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,(null),(null),(null),(null),0.0,0.0,0.0,0.0,0.0,0.0,0
34.182609,-118.129085,1.31,1.31,0.89,0.33,1.31,1.31,0.89,0.33,111,2022-06-07 23:40:24.168,2022-06-07 16:40:24.168,14,0,0,16.750,34.182609,-118.129085,0.00,0.00,-0.89,1.60,-1.20,-2.40,0,1,0,88,100,-4941,3081,16750,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224167,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-16.00,-12.00,-24.00,0.00,0.00,-75.00,11,4.00,4.00,1.02,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,1.31,1.64,0.89,0.47,1.31,1.31,0.89,0.47,211,2022-06-07 23:40:24.267,2022-06-07 16:40:24.267,14,0,0,16.750,34.182609,-118.129085,0.00,0.00,-0.89,1.80,-1.20,-2.40,0,1,0,88,100,-4941,3081,16750,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224267,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-18.00,-12.00,-24.00,0.00,0.00,-75.00,11,4.00,4.00,1.43,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,1.64,1.64,0.89,0.49,1.64,1.64,0.89,0.49,311,2022-06-07 23:40:24.367,2022-06-07 16:40:24.367,14,0,0,16.750,34.182609,-118.129085,0.00,0.00,-0.89,1.60,-1.40,-2.40,0,1,0,88,100,-4941,3081,16750,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224367,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-16.00,-14.00,-24.00,0.00,0.00,-75.00,11,5.00,4.00,1.49,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,1.64,1.97,1.12,0.48,1.64,1.64,1.12,0.49,411,2022-06-07 23:40:24.468,2022-06-07 16:40:24.468,14,0,0,16.750,34.182609,-118.129085,0.00,0.00,-1.12,1.30,-1.80,-2.40,0,1,0,88,100,-4941,3081,16750,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224467,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-13.00,-18.00,-24.00,0.00,0.00,-75.00,11,5.00,5.00,1.47,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,1.97,1.97,1.12,0.50,1.97,1.97,1.12,0.50,512,2022-06-07 23:40:24.568,2022-06-07 16:40:24.568,14,0,0,16.750,34.182609,-118.129085,0.00,0.00,-1.12,1.50,-1.90,-2.50,0,1,0,88,100,-4941,3081,16750,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224568,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-15.00,-19.00,-25.00,0.00,0.00,-75.00,11,6.00,5.00,1.53,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,1.97,2.30,1.12,0.51,1.97,1.97,1.12,0.51,612,2022-06-07 23:40:24.668,2022-06-07 16:40:24.668,14,0,0,16.750,34.182609,-118.129085,0.00,0.00,-1.12,1.90,-1.50,-2.50,0,1,0,88,100,-4941,3081,16750,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224668,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-19.00,-15.00,-25.00,0.00,0.00,-75.00,11,6.00,5.00,1.55,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,2.30,2.30,1.12,0.53,2.30,2.30,1.12,0.53,712,2022-06-07 23:40:24.768,2022-06-07 16:40:24.768,14,0,0,16.566,34.182609,-118.129085,0.00,0.00,-1.12,2.50,-1.00,-2.50,0,1,0,88,100,-7675,3078,16566,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224768,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-25.00,-10.00,-25.00,0.00,0.00,-75.00,11,7.00,5.00,1.60,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,2.30,2.62,1.12,0.60,2.30,2.30,1.12,0.60,812,2022-06-07 23:40:24.868,2022-06-07 16:40:24.868,14,0,0,16.566,34.182609,-118.129085,0.00,0.00,-1.12,2.30,-0.80,-2.50,0,1,0,88,100,-7675,3078,16566,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224868,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-23.00,-8.00,-25.00,0.00,0.00,-75.00,11,7.00,5.00,1.82,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,2.62,2.95,1.12,0.61,2.62,2.62,1.12,0.61,912,2022-06-07 23:40:24.968,2022-06-07 16:40:24.968,14,0,0,16.566,34.182609,-118.129085,0.00,0.00,-1.12,1.90,-1.10,-2.50,0,1,0,88,100,-7675,3078,16566,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645224968,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-19.00,-11.00,-25.00,0.00,0.00,-75.00,11,8.00,5.00,1.85,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,2.62,2.95,1.12,0.60,2.62,2.62,1.12,0.61,1012,2022-06-07 23:40:25.068,2022-06-07 16:40:25.068,14,0,0,16.566,34.182609,-118.129085,0.00,0.00,-1.12,1.90,-1.20,-2.50,0,1,0,88,100,-7675,3078,16566,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645225068,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-19.00,-12.00,-25.00,0.00,0.00,-75.00,11,8.00,5.00,1.84,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,2.95,3.28,1.12,0.60,2.95,2.95,1.12,0.61,1112,2022-06-07 23:40:25.168,2022-06-07 16:40:25.168,14,0,0,16.566,34.182609,-118.129085,0.00,0.00,-1.12,1.80,-0.80,-2.60,0,1,0,88,100,-7675,3078,16566,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645225168,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-18.00,-8.00,-26.00,0.00,0.00,-75.00,11,9.00,5.00,1.84,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182610,-118.129085,2.95,3.28,0.89,0.60,2.95,2.95,1.12,0.61,1215,2022-06-07 23:40:25.272,2022-06-07 16:40:25.272,14,0,0,16.566,34.182609,-118.129085,0.00,0.00,-0.89,1.40,-0.70,-2.50,0,1,0,88,100,-7675,3078,16566,3101.50,10,TakeOff,1,0,0,0,0,0,0,1654645225271,4235,4237,4236,4224,0,0,27,,,,,,,0,0,0,-14.00,-7.00,-25.00,0.00,0.00,-75.00,11,9.00,4.00,1.83,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
