latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
34.182620,-118.129105,0.40,0.40,0.54,0.17,0.40,0.40,0.54,0.17,1,2022-06-05 23:31:55.977,2022-06-05 16:31:55.977,16,0,0,16.948,34.182619,-118.129104,0.20,0.00,-0.50,3.50,-0.50,-3.70,0,1,0,95,100,-4170,3220,16948,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471915977,4288,4289,4288,4279,0,0,27,Litchi_iOS_2.14.0,Brian-MAVIC 2,163DFCK001S13F,1DUCFB800104PR,0P2AFBV5340045,,0,3403,0,-35.00,-5.00,-37.00,0.00,0.00,-44.00,11,4.00,5.39,1.73,2.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,(null),(null),,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182620,-118.129105,0.50,0.50,0.54,0.19,0.50,0.50,0.54,0.19,100,2022-06-05 23:31:56.077,2022-06-05 16:31:56.077,16,0,0,16.948,34.182619,-118.129104,0.20,0.00,-0.50,3.90,0.30,-3.80,0,1,0,95,100,-4170,3220,16948,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916076,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-39.00,3.00,-38.00,0.00,0.00,-44.00,11,5.00,5.39,1.91,2.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182620,-118.129105,0.50,0.50,0.54,0.21,0.50,0.50,0.54,0.21,200,2022-06-05 23:31:56.177,2022-06-05 16:31:56.177,15,0,0,16.948,34.182619,-118.129104,0.20,0.00,-0.50,4.00,0.10,-3.90,0,1,0,95,100,-4170,3220,16948,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916176,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-40.00,1.00,-39.00,0.00,0.00,-44.00,11,5.00,5.39,2.09,2.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182620,-118.129105,0.60,0.60,0.54,0.22,0.60,0.60,0.54,0.22,301,2022-06-05 23:31:56.277,2022-06-05 16:31:56.277,15,0,0,16.790,34.182619,-118.129104,0.20,0.00,-0.50,4.20,-0.60,-3.80,0,1,0,95,100,-7240,3217,16790,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916277,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-42.00,-6.00,-38.00,0.00,0.00,-44.00,11,6.00,5.39,2.23,2.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182621,-118.129105,0.60,0.60,0.51,0.24,0.60,0.60,0.54,0.24,401,2022-06-05 23:31:56.377,2022-06-05 16:31:56.377,16,0,0,16.790,34.182619,-118.129104,0.10,0.00,-0.50,3.70,-0.80,-3.80,0,1,0,95,100,-7240,3217,16790,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916377,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-37.00,-8.00,-38.00,0.00,0.00,-44.00,11,6.00,5.10,2.39,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182621,-118.129105,0.70,0.70,0.51,0.27,0.70,0.70,0.54,0.27,500,2022-06-05 23:31:56.476,2022-06-05 16:31:56.476,16,0,0,16.790,34.182619,-118.129104,0.10,0.00,-0.50,3.80,-0.60,-3.80,0,1,0,95,100,-7240,3217,16790,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916476,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-38.00,-6.00,-38.00,0.00,0.00,-44.00,11,7.00,5.10,2.75,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182621,-118.129105,0.70,0.70,0.51,0.29,0.70,0.70,0.54,0.29,601,2022-06-05 23:31:56.577,2022-06-05 16:31:56.577,16,0,0,16.790,34.182619,-118.129104,0.10,0.00,-0.50,3.90,-0.40,-3.80,0,1,0,95,100,-7240,3217,16790,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916577,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-39.00,-4.00,-38.00,0.00,0.00,-44.00,11,7.00,5.10,2.90,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182621,-118.129105,0.80,0.80,0.51,0.28,0.80,0.80,0.54,0.29,701,2022-06-05 23:31:56.677,2022-06-05 16:31:56.677,16,0,0,16.790,34.182619,-118.129104,0.10,0.00,-0.50,4.00,-0.60,-3.80,0,1,0,95,100,-7240,3217,16790,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916677,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-40.00,-6.00,-38.00,0.00,0.00,-44.00,11,8.00,5.10,2.79,1.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182621,-118.129105,0.80,0.80,0.41,0.29,0.80,0.80,0.54,0.29,802,2022-06-05 23:31:56.779,2022-06-05 16:31:56.779,15,0,0,16.790,34.182619,-118.129104,0.10,0.00,-0.40,3.80,-0.10,-4.00,0,1,0,95,100,-7240,3217,16790,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916778,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-38.00,-1.00,-40.00,0.00,0.00,-44.00,11,8.00,4.12,2.90,1.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182621,-118.129105,0.90,0.90,0.41,0.30,0.90,0.90,0.54,0.30,900,2022-06-05 23:31:56.877,2022-06-05 16:31:56.877,15,0,0,16.790,34.182619,-118.129104,0.10,0.00,-0.40,3.80,0.00,-4.10,0,1,0,95,100,-7240,3217,16790,3091.50,10,TakeOff,1,0,0,0,0,0,0,1654471916876,4288,4289,4288,4279,0,0,27,,,,,,,0,0,0,-38.00,0.00,-41.00,0.00,0.00,-44.00,11,9.00,4.12,3.03,1.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
