latitude,longitude,altitude(feet),ultrasonicHeight(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mph),velocityY(mph),velocityZ(mph),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
34.182605,-118.129085,0.98,0.98,0.89,0.55,0.98,0.98,0.89,0.55,1,2022-06-07 23:43:32.541,2022-06-07 16:43:32.541,14,0,0,16.620,34.182604,-118.129084,0.00,0.00,-0.89,1.80,0.60,-4.90,0,1,0,81,100,-1529,2816,16620,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645412541,4116,4111,4104,4092,0,0,27,Litchi_iOS_2.14.0,Brian-MAVIC 2,163DFCK001S13F,1DUCFB800104PR,0P2AFBV5340045,,0,3507,0,-18.00,6.00,-49.00,0.00,0.00,-97.00,11,3.00,4.00,1.67,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,(null),(null),(null),(null),0.0,0.0,0.0,0.0,0.0,0.0,0
34.182605,-118.129085,1.31,1.31,0.89,0.51,1.31,1.31,0.89,0.55,100,2022-06-07 23:43:32.641,2022-06-07 16:43:32.641,14,0,0,16.620,34.182604,-118.129084,0.00,0.00,-0.89,1.70,0.80,-4.80,0,1,0,81,100,-1529,2816,16620,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645412640,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-17.00,8.00,-48.00,0.00,0.00,-97.00,11,4.00,4.00,1.55,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182605,-118.129085,1.31,1.31,0.89,0.54,1.31,1.31,0.89,0.55,200,2022-06-07 23:43:32.741,2022-06-07 16:43:32.741,14,0,0,16.620,34.182604,-118.129084,0.00,0.00,-0.89,1.50,0.70,-4.90,0,1,0,81,100,-1529,2816,16620,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645412740,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-15.00,7.00,-49.00,0.00,0.00,-97.00,11,4.00,4.00,1.64,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182606,-118.129085,1.31,1.64,0.89,0.61,1.31,1.31,0.89,0.61,300,2022-06-07 23:43:32.841,2022-06-07 16:43:32.841,14,0,0,16.423,34.182604,-118.129084,0.00,0.00,-0.89,1.40,0.60,-5.00,0,1,0,81,100,-4700,2814,16423,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645412840,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-14.00,6.00,-50.00,0.00,0.00,-97.00,11,4.00,4.00,1.85,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182606,-118.129085,1.64,1.64,1.12,0.64,1.64,1.64,1.12,0.64,400,2022-06-07 23:43:32.940,2022-06-07 16:43:32.940,14,0,0,16.423,34.182604,-118.129084,0.00,0.00,-1.12,1.50,0.80,-5.00,0,1,0,81,100,-4700,2814,16423,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645412940,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-15.00,8.00,-50.00,0.00,0.00,-97.00,11,5.00,5.00,1.94,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182606,-118.129085,1.64,1.97,1.12,0.73,1.64,1.64,1.12,0.73,501,2022-06-07 23:43:33.041,2022-06-07 16:43:33.041,14,0,0,16.423,34.182604,-118.129084,0.00,0.00,-1.12,1.60,0.80,-5.00,0,1,0,81,100,-4700,2814,16423,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645413041,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-16.00,8.00,-50.00,0.00,0.00,-97.00,11,5.00,5.00,2.21,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182606,-118.129085,1.97,1.97,1.12,0.76,1.97,1.97,1.12,0.76,601,2022-06-07 23:43:33.141,2022-06-07 16:43:33.141,14,0,0,16.423,34.182604,-118.129084,0.00,0.00,-1.12,2.10,0.50,-5.00,0,1,0,81,100,-4700,2814,16423,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645413141,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-21.00,5.00,-50.00,0.00,0.00,-97.00,11,6.00,5.00,2.31,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182606,-118.129085,1.97,2.30,1.12,0.75,1.97,1.97,1.12,0.76,701,2022-06-07 23:43:33.241,2022-06-07 16:43:33.241,14,0,0,16.423,34.182604,-118.129084,0.00,0.00,-1.12,2.30,0.30,-4.90,0,1,0,81,100,-4700,2814,16423,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645413241,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-23.00,3.00,-49.00,0.00,0.00,-97.00,11,6.00,5.00,2.29,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182606,-118.129085,2.30,2.30,1.12,0.78,2.30,2.30,1.12,0.78,801,2022-06-07 23:43:33.341,2022-06-07 16:43:33.341,14,0,0,16.423,34.182604,-118.129084,0.00,0.00,-1.12,2.30,0.30,-4.90,0,1,0,81,100,-4700,2814,16423,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645413341,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-23.00,3.00,-49.00,0.00,0.00,-97.00,11,7.00,5.00,2.37,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182606,-118.129085,2.62,2.62,1.12,0.81,2.62,2.62,1.12,0.81,902,2022-06-07 23:43:33.442,2022-06-07 16:43:33.442,14,0,0,16.423,34.182604,-118.129084,0.00,0.00,-1.12,2.20,0.20,-5.00,0,1,0,81,100,-4700,2814,16423,3131.50,10,TakeOff,1,0,0,0,0,0,0,1654645413442,4116,4111,4104,4092,0,0,27,,,,,,,0,0,0,-22.00,2.00,-50.00,0.00,0.00,-97.00,11,8.00,5.00,2.48,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
