latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
34.182597,-118.129088,0.30,0.30,0.40,0.09,0.30,0.30,0.40,0.09,0,2022-06-08 00:28:57.665,2022-06-07 17:28:57.665,15,0,0,16.371,34.182596,-118.129088,0.00,0.00,-0.40,1.40,-1.10,-31.30,0,1,0,80,100,-4513,2878,16371,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648137664,4138,4126,4135,4133,0,0,27,Litchi_iOS_2.14.0,Brian-MAVIC 2,163DFCK001S13F,1DUCFB800104PR,0P2AG3L53400KG,,0,3630,0,-14.00,-11.00,-313.00,0.00,0.00,-299.00,11,3.00,4.00,0.86,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,(null),(null),(null),(null),0.0,0.0,0.0,0.0,0.0,0.0,0
34.182597,-118.129088,0.30,0.40,0.40,0.09,0.30,0.30,0.40,0.09,99,2022-06-08 00:28:57.764,2022-06-07 17:28:57.764,15,0,0,16.371,34.182596,-118.129088,0.00,0.00,-0.40,1.30,-1.00,-31.20,0,1,0,80,100,-4513,2878,16371,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648137763,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-13.00,-10.00,-312.00,0.00,0.00,-299.00,11,3.00,4.00,0.88,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182598,-118.129088,0.40,0.40,0.40,0.12,0.40,0.40,0.40,0.12,197,2022-06-08 00:28:57.862,2022-06-07 17:28:57.862,15,0,0,16.371,34.182596,-118.129088,0.00,0.00,-0.40,1.20,-0.90,-31.20,0,1,0,80,100,-4513,2878,16371,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648137861,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-12.00,-9.00,-312.00,0.00,0.00,-299.00,11,4.00,4.00,1.16,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182598,-118.129088,0.40,0.50,0.40,0.12,0.40,0.40,0.40,0.12,299,2022-06-08 00:28:57.963,2022-06-07 17:28:57.963,15,0,0,16.371,34.182596,-118.129088,0.00,0.00,-0.40,1.20,-0.80,-31.10,0,1,0,80,100,-4513,2878,16371,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648137963,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-12.00,-8.00,-311.00,0.00,0.00,-299.00,11,4.00,4.00,1.17,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182597,-118.129088,0.50,0.50,0.40,0.10,0.50,0.50,0.40,0.12,399,2022-06-08 00:28:58.064,2022-06-07 17:28:58.064,15,0,0,16.371,34.182596,-118.129088,0.00,0.00,-0.40,1.00,-0.60,-31.10,0,1,0,80,100,-4513,2878,16371,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648138063,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-10.00,-6.00,-311.00,0.00,0.00,-299.00,11,5.00,4.00,0.98,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182597,-118.129088,0.50,0.60,0.50,0.09,0.50,0.50,0.50,0.12,498,2022-06-08 00:28:58.163,2022-06-07 17:28:58.163,15,0,0,16.371,34.182596,-118.129088,0.00,0.00,-0.50,0.80,-0.50,-31.10,0,1,0,80,100,-4513,2878,16371,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648138162,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-8.00,-5.00,-311.00,0.00,0.00,-299.00,11,5.00,5.00,0.95,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182597,-118.129088,0.60,0.70,0.50,0.09,0.60,0.60,0.50,0.12,599,2022-06-08 00:28:58.263,2022-06-07 17:28:58.263,15,0,0,16.371,34.182596,-118.129088,0.00,0.00,-0.50,0.50,-0.40,-31.10,0,1,0,80,100,-4513,2878,16371,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648138263,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-5.00,-4.00,-311.00,0.00,0.00,-300.00,11,6.00,5.00,0.87,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182597,-118.129088,0.60,0.70,0.50,0.08,0.60,0.60,0.50,0.12,697,2022-06-08 00:28:58.362,2022-06-07 17:28:58.362,15,0,0,16.209,34.182596,-118.129088,0.00,0.00,-0.50,0.30,-0.50,-31.10,0,1,0,80,100,-7895,2875,16209,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648138361,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-3.00,-5.00,-311.00,0.00,0.00,-300.00,11,6.00,5.00,0.83,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182597,-118.129088,0.70,0.80,0.50,0.11,0.70,0.70,0.50,0.12,799,2022-06-08 00:28:58.464,2022-06-07 17:28:58.464,15,0,0,16.209,34.182596,-118.129088,0.00,0.00,-0.50,0.20,-0.80,-31.00,0,1,0,80,100,-7895,2875,16209,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648138463,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-2.00,-8.00,-310.00,0.00,0.00,-300.00,11,7.00,5.00,1.07,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182597,-118.129088,0.70,0.80,0.50,0.11,0.70,0.70,0.50,0.12,899,2022-06-08 00:28:58.563,2022-06-07 17:28:58.563,15,0,0,16.209,34.182596,-118.129088,0.00,0.00,-0.50,0.20,-1.10,-31.00,0,1,0,80,100,-7895,2875,16209,3131.50,5,TakeOff,1,0,0,0,0,0,0,1654648138563,4138,4126,4135,4133,0,0,27,,,,,,,0,0,0,-2.00,-11.00,-310.00,0.00,0.00,-300.00,11,7.00,5.00,1.08,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
