Device Information:,,,,,,,,,,,,,,,
Name:,WEATHER - 2636850,,,,,,,,,,,,,,
Model:,5500L,,,,,,,,,,,,,,
Serial:,2636850,,,,,,,,,,,,,,
Firmware:,1.46,,,,,,,,,,,,,,
Profile Version:,0.09,,,,,,,,,,,,,,
Hardware Version:,Rev 14,,,,,,,,,,,,,,
LiNK Version:,1.04.04,,,,,,,,,,,,,,
Time,Temp,Wet Bulb Temp.,Rel. Hum.,Baro.,Altitude,Station P.,Wind Speed,Heat Index,Dew Point,Dens. Alt.,Crosswind,Headwind,Mag. Dir.,True Dir.,Wind Chill
yyyy-MM-dd hh:mm:ss,Celsius,Celsius,%,mb,Meters,mb,m/s,Celsius,Celsius,Meters,m/s,m/s,Degrees,Degrees,Celsius
6/8/22 16:47,18.9,16.3,77.5,1008.2,40,1008.2,5.9,18.7,14.9,258,3.6,-4.7,218,218,18.1
6/8/22 16:47,19.1,16.6,78.3,1008.2,40,1008.2,5.8,19,15.2,266,3.3,-4.8,219,219,18.4
6/8/22 16:47,19.2,16.8,79.1,1008,40,1008.1,6,19.2,15.5,273,3.8,-4.7,221,222,18.5
6/8/22 16:47,19.3,17.1,80.1,1008,40,1008.1,6.2,19.2,15.8,275,4,-4.8,215,216,18.5
6/8/22 16:47,19.2,17.1,81.1,1008.2,40,1008.2,6.2,19.3,15.9,274,3.9,-4.8,217,218,18.5
6/8/22 16:47,19.2,17.2,82,1008,40,1008.1,5.9,19.3,16.1,276,3.5,-4.7,220,220,18.5
6/8/22 16:47,19.3,17.3,82.7,1008.2,40,1008.2,5.7,19.4,16.2,277,3.6,-4.4,214,215,18.6
6/8/22 16:47,19.4,17.5,83.4,1008,40,1008.1,5.7,19.5,16.5,282,3.5,-4.5,217,217,18.7
6/8/22 16:47,19.4,17.6,84,1008.2,40,1008.1,5.3,19.5,16.6,284,3.4,-4.1,219,220,18.8
6/8/22 16:47,19.4,17.7,84.6,1008,40,1008.1,5.4,19.7,16.8,286,3.5,-4.2,223,224,18.9
6/8/22 16:47,19.4,17.7,85.1,1008,42,1008.1,6,19.6,16.8,285,3.7,-4.7,222,222,18.6
6/8/22 16:47,19.3,17.6,85.6,1008,40,1008.1,6.3,19.4,16.8,281,4.1,-4.8,220,220,18.4
6/8/22 16:47,19.1,17.6,85.9,1008,40,1008.1,6.2,19.3,16.7,276,4,-4.7,220,221,18.3
6/8/22 16:47,19.2,17.6,86.1,1008,40,1008.1,6,19.3,16.8,276,3.8,-4.6,220,220,18.4
6/8/22 16:47,19.2,17.6,86.2,1008,40,1008.1,6.4,19.3,16.8,276,4.1,-4.9,219,220,18.3
6/8/22 16:47,19.1,17.5,86.3,1008.2,40,1008.2,6.6,19.3,16.7,271,4.6,-4.7,223,224,18.1
